IssueID,ProjectName,Politeness,FixingTime_(hours)
153723,Lucene - Core,mixed,1087.3988
153728,Lucene - Core,mixed,1297.1938
128716,OFBiz,mixed,23130.4712
128717,OFBiz,mixed,1671.9517
128792,OFBiz,mixed,575.657
128793,OFBiz,polite,616.118
128794,OFBiz,polite,134.8303
128795,OFBiz,polite,1150.7895
128798,OFBiz,impolite,1.4733
128790,OFBiz,mixed,1083.3526
128789,OFBiz,polite,559.8931
128780,OFBiz,mixed,6098.5142
128783,OFBiz,mixed,218.1045
128784,OFBiz,polite,2478.2446
128785,OFBiz,impolite,270.0594
128787,OFBiz,impolite,326.7933
128778,OFBiz,mixed,20737.3991
128779,OFBiz,polite,112.9882
128773,OFBiz,impolite,687.6652
128775,OFBiz,polite,45.6133
128766,OFBiz,polite,4826.8735
128762,OFBiz,polite,103.9131
128755,OFBiz,impolite,0.8234
36360,Wicket,polite,219.067
153672,Lucene - Core,polite,26.6066
153673,Lucene - Core,mixed,2670.3869
36362,Wicket,polite,65.5309
36365,Wicket,mixed,22047.8904
153678,Lucene - Core,mixed,1227.3291
153679,Lucene - Core,polite,1.6518
114073,Pig,mixed,670.8001
114074,Pig,polite,17076.1898
114076,Pig,polite,687.634
114077,Pig,mixed,2974.5318
212605,HBase,impolite,50.3744
114078,Pig,mixed,861.8543
114079,Pig,polite,616.5476
36366,Wicket,mixed,2917.5947
212601,HBase,polite,6549.2328
212602,HBase,impolite,27.8087
36368,Wicket,impolite,95.4512
114070,Pig,polite,600.6942
114072,Pig,mixed,3337.2299
153680,Lucene - Core,polite,0.2717
212600,HBase,polite,2852.5725
153661,Lucene - Core,impolite,619.3441
153663,Lucene - Core,impolite,178.5922
36352,Wicket,impolite,1668.0321
153664,Lucene - Core,impolite,6.785
153665,Lucene - Core,mixed,604.9371
114059,Pig,mixed,72.6095
153667,Lucene - Core,polite,171.1198
153669,Lucene - Core,mixed,1615.7258
114064,Pig,polite,76.7431
212616,HBase,polite,45.4762
114067,Pig,polite,67.4694
212618,HBase,polite,1093.3305
114069,Pig,polite,19285.8568
212612,HBase,impolite,9.807
36356,Wicket,polite,6.1139
114060,Pig,polite,919.3043
212610,HBase,polite,336.8822
114061,Pig,mixed,164.4186
153692,Lucene - Core,impolite,588.1097
153693,Lucene - Core,impolite,0.4708
128694,OFBiz,polite,2.8157
153694,Lucene - Core,polite,308.0052
128695,OFBiz,polite,87.9015
153695,Lucene - Core,polite,189.3431
36340,Wicket,polite,684.7806
128696,OFBiz,mixed,32576.1874
153697,Lucene - Core,mixed,146.1315
153698,Lucene - Core,mixed,3889.6242
153699,Lucene - Core,polite,27.512
114048,Pig,mixed,21122.4667
128690,OFBiz,polite,1479.4185
85319,Solr,mixed,1323.4489
114052,Pig,polite,186.841
85317,Solr,impolite,2188.3393
114053,Pig,impolite,10201.6825
85318,Solr,mixed,46551.0484
114054,Pig,impolite,10217.9965
114055,Pig,mixed,10218.2087
114056,Pig,mixed,10219.6222
85313,Solr,polite,143.2947
212629,HBase,mixed,88.4041
114058,Pig,mixed,1565.8832
128689,OFBiz,mixed,21754.4714
85312,Solr,mixed,3457.2506
85310,Solr,mixed,150.9411
212626,HBase,polite,69.5749
36348,Wicket,mixed,21.4659
36349,Wicket,mixed,2812.8333
114050,Pig,mixed,1005.0982
153681,Lucene - Core,polite,0.588
128682,OFBiz,impolite,99.2236
153682,Lucene - Core,mixed,1837.5385
128683,OFBiz,mixed,461.364
153683,Lucene - Core,mixed,18.5757
153684,Lucene - Core,polite,338.0343
212640,HBase,mixed,92.5971
128685,OFBiz,impolite,113.4052
36330,Wicket,polite,11.1212
128686,OFBiz,polite,59.4735
36331,Wicket,impolite,350.2666
153688,Lucene - Core,mixed,2057.5209
608591,GeoServer,impolite,99.5217
128680,OFBiz,polite,1425.0076
85309,Solr,mixed,5319.7673
114041,Pig,polite,9724.3917
608598,GeoServer,impolite,7441.1492
85307,Solr,impolite,72.3967
212638,HBase,polite,482.6195
85305,Solr,mixed,15766.9093
212639,HBase,impolite,3.7041
85302,Solr,mixed,45839.9664
114046,Pig,polite,77.8852
85303,Solr,polite,48353.8878
85300,Solr,polite,178.4861
36336,Wicket,impolite,12.2561
36338,Wicket,polite,0.2361
36339,Wicket,polite,0.4159
153690,Lucene - Core,mixed,502.1313
212632,HBase,polite,9.4757
153630,Lucene - Core,mixed,75.8235
153631,Lucene - Core,mixed,1010.5427
36320,Wicket,polite,2850.4425
153634,Lucene - Core,impolite,466.8157
153635,Lucene - Core,impolite,28.6442
153637,Lucene - Core,mixed,1296.207
153638,Lucene - Core,polite,45.1536
153639,Lucene - Core,polite,555.2977
608585,GeoServer,mixed,119.6834
608586,GeoServer,mixed,0.9169
608587,GeoServer,mixed,7269.9117
608588,GeoServer,impolite,18191.3858
85337,Solr,polite,149.1675
85338,Solr,mixed,48913.5345
608582,GeoServer,impolite,2.9814
85335,Solr,polite,1173.3506
85336,Solr,mixed,48139.2124
608584,GeoServer,impolite,2111.0287
85333,Solr,polite,19.0028
236612,Geronimo,mixed,458.7794
85334,Solr,polite,652.0669
236613,Geronimo,impolite,1705.3339
212647,HBase,polite,277.3926
36325,Wicket,mixed,1493.5187
36326,Wicket,polite,12.2334
212641,HBase,impolite,166.5447
608589,GeoServer,impolite,4247.1729
36327,Wicket,mixed,2237.5869
85330,Solr,polite,123.88
236617,Geronimo,mixed,8566.3726
36328,Wicket,mixed,572.5475
36329,Wicket,impolite,108.7876
212644,HBase,mixed,45.2121
153621,Lucene - Core,impolite,0.5276
153622,Lucene - Core,polite,114.3536
153624,Lucene - Core,impolite,0.7988
153625,Lucene - Core,polite,314.2079
153627,Lucene - Core,impolite,14.3232
153628,Lucene - Core,mixed,90.3053
153629,Lucene - Core,mixed,2007.6497
36319,Wicket,impolite,65.879
236609,Geronimo,polite,490.1039
608574,GeoServer,impolite,142.8609
236607,Geronimo,mixed,351.4042
608576,GeoServer,mixed,18118.7033
85329,Solr,mixed,818.0511
608577,GeoServer,impolite,43.8848
85326,Solr,polite,1455.6808
608570,GeoServer,mixed,477.7445
608571,GeoServer,mixed,0.6493
85324,Solr,mixed,641.8636
608572,GeoServer,mixed,9084.0224
85325,Solr,polite,26421.9477
608573,GeoServer,mixed,1229.232
85322,Solr,polite,6.8747
85323,Solr,impolite,4682.1542
212657,HBase,impolite,33.7631
236602,Geronimo,mixed,424.3625
85320,Solr,polite,3625.1696
212659,HBase,polite,61.404
36315,Wicket,polite,0.0191
608578,GeoServer,impolite,10.0357
608579,GeoServer,impolite,37.1074
236603,Geronimo,polite,362.1897
36318,Wicket,polite,2849.5548
212670,HBase,impolite,17.929
153651,Lucene - Core,mixed,13.3929
153652,Lucene - Core,polite,579.7486
236641,Geronimo,impolite,29.0492
153653,Lucene - Core,mixed,16.0447
153654,Lucene - Core,mixed,93.2183
236640,Geronimo,polite,2557.2764
153656,Lucene - Core,mixed,79.2305
153658,Lucene - Core,impolite,3502.2226
608563,GeoServer,impolite,1706.9178
608565,GeoServer,mixed,2414.0477
608566,GeoServer,impolite,0.0341
85359,Solr,mixed,19332.6813
222001,Hadoop Common,polite,13.6951
608560,GeoServer,impolite,7.5162
85357,Solr,impolite,11.3697
608561,GeoServer,impolite,1803.2172
85358,Solr,mixed,9076.02
608562,GeoServer,mixed,32.225
36300,Wicket,mixed,20.8108
85355,Solr,mixed,18.6044
236634,Geronimo,mixed,280.7511
36301,Wicket,mixed,118.2532
236635,Geronimo,impolite,23.7681
212669,HBase,polite,466.8909
85354,Solr,mixed,494.775
85351,Solr,impolite,70.7442
212663,HBase,impolite,17.7432
608567,GeoServer,mixed,54.5228
36305,Wicket,mixed,375.578
85352,Solr,mixed,44030.8112
212664,HBase,polite,303.1925
236636,Geronimo,mixed,35.4997
212666,HBase,polite,284.8407
212681,HBase,impolite,51.3341
153640,Lucene - Core,polite,316.5579
153641,Lucene - Core,polite,115.1388
153643,Lucene - Core,polite,2.5558
153644,Lucene - Core,polite,47.3034
153645,Lucene - Core,impolite,0.2413
153646,Lucene - Core,mixed,571.0601
153647,Lucene - Core,mixed,1607.4961
153649,Lucene - Core,mixed,7.8402
114084,Pig,polite,9879.3459
608553,GeoServer,impolite,0.9955
114087,Pig,polite,2887.2996
85348,Solr,mixed,4386.8095
114088,Pig,polite,25.5453
85349,Solr,impolite,26795.1133
114089,Pig,impolite,498.4732
85346,Solr,polite,8.4864
608551,GeoServer,impolite,0.9834
212679,HBase,mixed,149.039
85343,Solr,mixed,2.6833
236622,Geronimo,impolite,3277.0765
85340,Solr,polite,84.0678
236627,Geronimo,polite,1797.1119
85341,Solr,polite,1013.2742
236628,Geronimo,mixed,506.3356
608557,GeoServer,mixed,6861.2394
114082,Pig,polite,359.2936
608558,GeoServer,impolite,432.0566
114083,Pig,polite,10504.0923
608559,GeoServer,impolite,0.1168
559164,groovy,polite,18423.9171
560153,groovy,mixed,336.876
236660,Geronimo,impolite,182.3269
560154,groovy,polite,741.7873
559162,groovy,polite,11454.7153
560157,groovy,polite,590.1763
212690,HBase,impolite,601.6675
560159,groovy,polite,4.6833
236662,Geronimo,polite,0.3022
222016,Hadoop Common,mixed,89.4466
222014,Hadoop Common,impolite,3.6915
559168,groovy,polite,493.7131
559169,groovy,polite,1.1696
574796,JBoss Enterprise Application Platform 4 and 5,polite,2205.7094
222022,Hadoop Common,polite,9.2006
222021,Hadoop Common,mixed,223.8931
236655,Geronimo,polite,56.7375
560161,groovy,impolite,1890.7067
212687,HBase,polite,18.915
236658,Geronimo,polite,1.43
560164,groovy,impolite,1856.3258
559154,groovy,impolite,123.401
560167,groovy,polite,0.9218
236652,Geronimo,mixed,936.8181
236653,Geronimo,mixed,993.7031
560169,groovy,mixed,1789.6869
222004,Hadoop Common,mixed,120.7025
222009,Hadoop Common,polite,841.0358
559158,groovy,impolite,21.5064
559155,groovy,impolite,18279.7788
559156,groovy,mixed,254.8602
222012,Hadoop Common,polite,1483.3351
222010,Hadoop Common,polite,23.8914
236645,Geronimo,polite,8411.0924
236646,Geronimo,polite,2146.6681
212696,HBase,polite,265.6368
236649,Geronimo,impolite,12901.8698
560171,groovy,impolite,21042.8787
212697,HBase,mixed,70.4891
212699,HBase,impolite,120.7195
236682,Geronimo,polite,2407.8278
560177,groovy,impolite,8654.4728
236686,Geronimo,polite,2178.5306
236683,Geronimo,polite,121.2906
222041,Hadoop Common,mixed,8.3264
222044,Hadoop Common,polite,94.3907
236679,Geronimo,impolite,76.3483
236676,Geronimo,polite,2409.8261
236677,Geronimo,mixed,3615.3989
236671,Geronimo,impolite,12970.1122
560189,groovy,impolite,206.4895
236674,Geronimo,polite,8625.5942
222026,Hadoop Common,mixed,72.3349
222027,Hadoop Common,polite,1.7579
222025,Hadoop Common,polite,19.3761
222030,Hadoop Common,mixed,1099.445
3708,Hibernate ORM,polite,3345.8786
222033,Hadoop Common,mixed,69.3671
236667,Geronimo,impolite,2393.5389
560190,groovy,mixed,508.5303
236666,Geronimo,polite,2205.6008
3700,Hibernate ORM,impolite,3.2226
574760,JBoss Enterprise Application Platform 4 and 5,polite,0.0053
3715,Hibernate ORM,impolite,3.5698
574750,JBoss Enterprise Application Platform 4 and 5,mixed,6429.8739
3716,Hibernate ORM,mixed,21.7742
574751,JBoss Enterprise Application Platform 4 and 5,impolite,3375.5536
574752,JBoss Enterprise Application Platform 4 and 5,mixed,3581.7622
574753,JBoss Enterprise Application Platform 4 and 5,mixed,2018.2433
574754,JBoss Enterprise Application Platform 4 and 5,impolite,140.9325
574756,JBoss Enterprise Application Platform 4 and 5,mixed,13537.7369
