Project,Period,Magnet,Sticky,Politeness,Tot_Comment
HADOOP,2006-01,0.8571428571428571,0.5,0.5,6
HADOOP,2006-02,0.5909090909090909,0.5625,0.8636363636363636,44
HADOOP,2006-03,0.2857142857142857,0.7894736842105263,0.8656716417910447,67
HADOOP,2006-04,0.20930232558139536,0.6666666666666666,0.8666666666666667,60
HADOOP,2006-05,0.21568627450980393,0.7407407407407407,0.8267716535433071,127
HADOOP,2006-06,0.06,0.782608695652174,0.8,75
HADOOP,2006-07,0.22641509433962265,0.8333333333333334,0.8623188405797102,138
HADOOP,2006-08,0.2028985507246377,0.6410256410256411,0.8503937007874016,127
HADOOP,2006-09,0.08571428571428572,0.6129032258064516,0.8076923076923077,104
HADOOP,2006-10,0.1935483870967742,0.6774193548387096,0.7888888888888889,90
HADOOP,2006-11,0.1875,0.6666666666666666,0.7751937984496124,129
HADOOP,2006-12,0.16666666666666666,0.6363636363636364,0.7387387387387387,111
HADOOP,2007-01,0.18181818181818182,0.8181818181818182,0.7214285714285714,140
HADOOP,2007-02,0.15492957746478872,0.7631578947368421,0.8170731707317073,164
HADOOP,2007-03,0.11842105263157894,0.7105263157894737,0.7464114832535885,209
HADOOP,2007-04,0.13333333333333333,0.7027027027027027,0.7329545454545454,176
HADOOP,2007-05,0.125,0.6,0.6285714285714286,175
HADOOP,2007-06,0.16417910447761194,0.71875,0.8,200
HADOOP,2007-07,0.19117647058823528,0.6944444444444444,0.723404255319149,188
HADOOP,2007-08,0.19736842105263158,0.7,0.6395939086294417,197
HADOOP,2007-09,0.25274725274725274,0.6470588235294118,0.7511520737327189,217
HADOOP,2007-10,0.19230769230769232,0.7735849056603774,0.7479338842975206,242
HADOOP,2007-11,0.13761467889908258,0.7142857142857143,0.768,250
HADOOP,2007-12,0.12727272727272726,0.7037037037037037,0.6984924623115578,199
HADOOP,2008-01,0.2,0.639344262295082,0.65,300
HADOOP,2008-02,0.17355371900826447,0.7666666666666667,0.7408759124087592,274
HADOOP,2008-03,0.12396694214876033,0.7868852459016393,0.6533742331288344,326
HADOOP,2008-04,0.15503875968992248,0.75,0.6803874092009685,413
HADOOP,2008-05,0.15602836879432624,0.7397260273972602,0.7484276729559748,318
HADOOP,2008-06,0.1910828025477707,0.6547619047619048,0.6777408637873754,301
HADOOP,2008-07,0.19186046511627908,0.6477272727272727,0.7093596059113301,406
HADOOP,2008-08,0.14201183431952663,0.654320987654321,0.7414772727272727,352
HADOOP,2008-09,0.1927710843373494,0.6941176470588235,0.6943396226415094,530
HADOOP,2008-10,0.19101123595505617,0.6559139784946236,0.5787139689578714,451
HADOOP,2008-11,0.09411764705882353,0.7142857142857143,0.7280966767371602,331
HADOOP,2008-12,0.175,0.6867469879518072,0.675,320
HADOOP,2009-01,0.1411042944785276,0.6875,0.6483870967741936,310
HADOOP,2009-02,0.20118343195266272,0.7078651685393258,0.6463414634146342,328
HADOOP,2009-03,0.15555555555555556,0.6373626373626373,0.5878787878787879,330
