Project,Period,Magnet,Sticky,Politeness,Tot_Comment
MAPREDUCE,2006-05,0.4,0.6666666666666666,1.0,5
MAPREDUCE,2006-07,0.375,0.6,0.875,8
MAPREDUCE,2006-08,0.42857142857142855,0.4444444444444444,0.8333333333333334,12
MAPREDUCE,2006-09,0.13333333333333333,0.3333333333333333,1.0,5
MAPREDUCE,2006-10,0.2727272727272727,0.6,1.0,2
MAPREDUCE,2006-11,0.2727272727272727,0.5,0.6666666666666666,3
MAPREDUCE,2006-12,0.25,0.6666666666666666,0.6666666666666666,3
MAPREDUCE,2007-01,0.5,0.21428571428571427,0.7142857142857143,7
MAPREDUCE,2007-02,0.10526315789473684,0.2,1.0,2
MAPREDUCE,2007-04,0.3333333333333333,0.75,1.0,2
MAPREDUCE,2007-05,0.5625,0.4166666666666667,0.875,16
MAPREDUCE,2007-06,0.22727272727272727,0.3,0.625,8
MAPREDUCE,2007-07,0.23529411764705882,0.14285714285714285,1.0,6
MAPREDUCE,2007-08,0.2727272727272727,0.5,1.0,1
MAPREDUCE,2007-09,0.45454545454545453,0.5714285714285714,0.6666666666666666,3
MAPREDUCE,2007-10,0.47619047619047616,0.5714285714285714,0.9090909090909091,11
MAPREDUCE,2007-11,0.2413793103448276,0.3333333333333333,0.8823529411764706,17
MAPREDUCE,2007-12,0.2,0.5,0.8888888888888888,9
MAPREDUCE,2008-01,0.5454545454545454,0.4782608695652174,0.8888888888888888,45
MAPREDUCE,2008-02,0.17073170731707318,0.6666666666666666,0.8478260869565217,46
MAPREDUCE,2008-03,0.1891891891891892,0.47368421052631576,0.8529411764705882,34
MAPREDUCE,2008-04,0.24324324324324326,0.3333333333333333,0.5714285714285714,7
MAPREDUCE,2008-05,0.2727272727272727,0.4666666666666667,0.6428571428571429,14
MAPREDUCE,2008-06,0.35294117647058826,0.5263157894736842,0.8,20
MAPREDUCE,2008-07,0.35555555555555557,0.46153846153846156,0.7878787878787878,33
