Project,AuthorID,CommentCount,IssueCount,Ranking
JBPAPP,95136,12,7,STD
JBPAPP,73292,11,11,STD
JBPAPP,75112,11,11,STD
JBPAPP,76736,11,11,STD
JBPAPP,73289,11,3,STD
JBPAPP,73808,10,3,STD
JBPAPP,73275,10,6,STD
JBPAPP,78916,10,7,STD
JBPAPP,73073,10,2,STD
JBPAPP,73273,10,5,STD
JBPAPP,73270,10,6,STD
JBPAPP,1118,10,6,STD
JBPAPP,73953,10,8,STD
JBPAPP,835,10,7,STD
JBPAPP,6408,10,6,STD
JBPAPP,89601,10,4,STD
JBPAPP,78426,9,4,STD
JBPAPP,73081,9,6,STD
JBPAPP,73294,9,9,STD
JBPAPP,73690,9,5,STD
JBPAPP,87585,9,4,STD
JBPAPP,95059,9,3,STD
JBPAPP,73098,9,4,STD
JBPAPP,973,8,3,STD
JBPAPP,1204,8,5,STD
JBPAPP,52863,8,4,STD
JBPAPP,252,8,4,STD
JBPAPP,77704,8,2,STD
JBPAPP,77736,8,7,STD
JBPAPP,95140,8,3,STD
JBPAPP,73293,8,6,STD
JBPAPP,76730,8,6,STD
JBPAPP,73899,8,4,STD
JBPAPP,59411,7,5,STD
JBPAPP,73255,7,4,STD
JBPAPP,73845,7,6,STD
JBPAPP,74111,7,4,STD
JBPAPP,78012,7,3,STD
JBPAPP,95145,7,3,STD
JBPAPP,87712,6,3,STD
JBPAPP,87170,6,5,STD
JBPAPP,64427,6,5,STD
JBPAPP,3908,6,2,STD
JBPAPP,95154,6,5,STD
JBPAPP,78003,6,4,STD
JBPAPP,74139,6,5,STD
JBPAPP,86422,6,3,STD
JBPAPP,73773,6,1,STD
JBPAPP,73092,6,5,STD
JBPAPP,84658,5,2,STD
JBPAPP,53655,5,3,STD
JBPAPP,86421,5,4,STD
JBPAPP,73666,5,5,STD
JBPAPP,75970,5,2,STD
JBPAPP,66851,5,3,STD
JBPAPP,73778,5,2,STD
JBPAPP,3744,5,5,STD
JBPAPP,77740,5,2,STD
JBPAPP,73088,5,5,STD
JBPAPP,34459,5,3,STD
JBPAPP,73082,5,3,STD
JBPAPP,73093,4,4,STD
JBPAPP,94408,4,4,STD
JBPAPP,89485,4,2,STD
JBPAPP,73684,4,2,STD
JBPAPP,3225,4,3,STD
JBPAPP,1979,4,3,STD
JBPAPP,2054,4,4,STD
JBPAPP,73076,4,2,STD
JBPAPP,73369,4,2,STD
JBPAPP,87596,4,2,STD
JBPAPP,52907,4,2,STD
JBPAPP,95126,4,1,STD
JBPAPP,74141,4,2,STD
JBPAPP,742,4,3,STD
JBPAPP,73277,4,1,STD
JBPAPP,73074,4,2,STD
JBPAPP,94419,3,2,STD
JBPAPP,3852,3,1,STD
JBPAPP,89736,3,1,STD
JBPAPP,90313,3,3,STD
JBPAPP,90402,3,1,STD
JBPAPP,93121,3,2,STD
JBPAPP,95153,3,1,STD
JBPAPP,50674,3,2,STD
JBPAPP,94412,3,2,STD
JBPAPP,48594,3,1,STD
