Project,AuthorID,CommentCount,IssueCount
HADOOP,17117,16,3
HADOOP,30889,16,10
HADOOP,36274,16,10
HADOOP,21993,16,2
HADOOP,45085,16,7
HADOOP,21339,15,8
HADOOP,36399,15,10
HADOOP,26712,15,7
HADOOP,34071,15,1
HADOOP,8351,15,2
HADOOP,21983,15,5
HADOOP,45256,14,4
HADOOP,47170,14,1
HADOOP,18091,14,1
HADOOP,47105,14,1
HADOOP,22024,14,4
HADOOP,39367,14,2
HADOOP,21010,14,7
HADOOP,36415,13,10
HADOOP,36498,13,5
HADOOP,36581,13,8
HADOOP,8554,13,2
HADOOP,47078,13,2
HADOOP,21050,13,7
HADOOP,21309,13,3
HADOOP,26643,13,8
HADOOP,36384,13,2
HADOOP,5754,12,1
HADOOP,46868,12,1
HADOOP,36070,12,6
HADOOP,30670,12,5
HADOOP,36617,12,7
HADOOP,25385,12,5
HADOOP,36583,12,4
HADOOP,45102,12,7
HADOOP,30912,12,5
HADOOP,29515,11,3
HADOOP,22079,11,4
HADOOP,47043,11,4
HADOOP,47032,11,3
HADOOP,8630,11,2
HADOOP,36091,11,5
HADOOP,45552,11,1
HADOOP,47135,11,4
HADOOP,46830,11,4
HADOOP,46299,11,3
HADOOP,47197,11,5
HADOOP,30830,11,3
HADOOP,36561,11,6
HADOOP,8484,11,6
HADOOP,34177,11,4
HADOOP,26914,10,6
HADOOP,8589,10,4
HADOOP,36284,10,6
HADOOP,8604,10,1
HADOOP,46946,10,1
HADOOP,36339,10,2
HADOOP,8623,10,4
HADOOP,37839,10,5
HADOOP,30745,10,1
HADOOP,36039,10,4
HADOOP,7750,10,1
HADOOP,8639,10,1
HADOOP,30875,10,5
HADOOP,22039,10,6
HADOOP,8518,10,1
HADOOP,36598,10,3
HADOOP,46878,10,2
HADOOP,36209,10,2
HADOOP,42871,10,2
HADOOP,36040,10,3
HADOOP,7973,10,5
HADOOP,7992,10,7
HADOOP,14631,9,3
HADOOP,45672,9,3
HADOOP,32608,9,3
HADOOP,45853,9,2
HADOOP,8130,9,5
HADOOP,47145,9,3
HADOOP,45824,9,3
HADOOP,37078,9,1
HADOOP,7925,9,3
HADOOP,36822,9,1
HADOOP,46977,9,1
HADOOP,8614,9,2
HADOOP,47047,9,5
HADOOP,36508,9,2
HADOOP,5233,9,3
HADOOP,46918,9,3
HADOOP,23070,9,2
HADOOP,17067,9,5
HADOOP,25404,9,4
HADOOP,47044,9,1
HADOOP,47106,9,2
HADOOP,36385,9,5
HADOOP,29987,9,5
HADOOP,46817,9,2
HADOOP,39586,9,4
HADOOP,8653,9,2
HADOOP,5900,9,2
HADOOP,45640,9,2
HADOOP,46771,9,4
HADOOP,7880,9,7
HADOOP,8266,9,2
HADOOP,30882,9,9
HADOOP,46408,9,2
HADOOP,17201,8,4
HADOOP,36438,8,4
HADOOP,47098,8,3
HADOOP,47063,8,4
HADOOP,8347,8,6
HADOOP,47169,8,5
HADOOP,16988,8,3
HADOOP,36124,8,2
HADOOP,36291,8,2
HADOOP,22976,8,2
HADOOP,43602,8,2
HADOOP,8569,8,2
HADOOP,21851,8,5
HADOOP,36331,8,4
HADOOP,294,8,1
HADOOP,46883,8,4
HADOOP,30716,8,2
HADOOP,30881,8,3
HADOOP,36050,8,2
HADOOP,36505,8,2
HADOOP,8307,8,3
HADOOP,35830,8,1
HADOOP,47039,8,2
HADOOP,45344,8,4
HADOOP,36311,7,4
HADOOP,44949,7,2
HADOOP,7806,7,1
HADOOP,25293,7,1
HADOOP,7886,7,4
HADOOP,32555,7,2
HADOOP,4185,7,4
HADOOP,8047,7,3
HADOOP,36523,7,2
HADOOP,36552,7,3
HADOOP,36383,7,1
HADOOP,30913,7,5
HADOOP,36224,7,4
HADOOP,36367,7,3
HADOOP,8043,7,3
HADOOP,36052,7,1
HADOOP,8470,7,3
HADOOP,30463,7,4
HADOOP,36606,7,2
HADOOP,29106,7,2
HADOOP,7919,7,5
HADOOP,8233,7,6
HADOOP,45758,7,4
HADOOP,17168,7,2
HADOOP,8378,7,3
HADOOP,8247,7,2
HADOOP,22058,7,2
HADOOP,8244,7,7
HADOOP,8575,7,3
HADOOP,36862,6,1
HADOOP,8605,6,1
HADOOP,46919,6,1
HADOOP,8254,6,4
HADOOP,47015,6,1
HADOOP,46899,6,2
HADOOP,7970,6,2
HADOOP,8558,6,3
HADOOP,25311,6,2
HADOOP,9298,6,1
HADOOP,7971,6,2
HADOOP,36546,6,2
HADOOP,34180,6,3
HADOOP,47060,6,1
HADOOP,34053,6,5
HADOOP,8501,6,3
HADOOP,42426,6,2
HADOOP,35494,6,2
HADOOP,47182,6,2
HADOOP,8388,6,5
HADOOP,36569,6,3
HADOOP,36125,6,3
HADOOP,9393,6,2
HADOOP,47033,6,1
HADOOP,45836,6,2
HADOOP,46819,6,1
HADOOP,30440,6,5
HADOOP,8168,6,3
HADOOP,46413,6,1
HADOOP,30609,6,1
HADOOP,30613,6,1
HADOOP,36398,6,6
HADOOP,36593,6,4
HADOOP,45864,6,2
HADOOP,8149,6,2
HADOOP,498,6,3
HADOOP,30934,6,2
HADOOP,30735,6,1
HADOOP,30740,6,2
HADOOP,32604,6,2
HADOOP,45710,6,1
HADOOP,30786,6,1
HADOOP,8292,6,2
HADOOP,8283,6,4
HADOOP,30820,6,1
HADOOP,45509,6,1
HADOOP,45110,6,2
HADOOP,21449,6,4
HADOOP,21558,6,2
HADOOP,36157,5,1
HADOOP,46790,5,1
HADOOP,30593,5,2
HADOOP,46893,5,3
HADOOP,36536,5,2
HADOOP,26154,5,5
HADOOP,47200,5,1
HADOOP,26077,5,2
HADOOP,36328,5,3
HADOOP,17219,5,3
HADOOP,9936,5,2
HADOOP,17139,5,4
HADOOP,30681,5,1
HADOOP,34119,5,3
HADOOP,8521,5,3
HADOOP,44861,5,1
HADOOP,36068,5,3
HADOOP,8525,5,2
HADOOP,19126,5,1
HADOOP,21455,5,3
HADOOP,17494,5,2
HADOOP,25277,5,1
HADOOP,25060,5,1
HADOOP,45382,5,3
HADOOP,47125,5,1
HADOOP,47192,5,3
HADOOP,46403,5,2
HADOOP,8573,5,1
HADOOP,36562,5,1
HADOOP,47178,5,1
HADOOP,46844,5,2
HADOOP,36446,5,3
HADOOP,47110,5,4
HADOOP,16528,5,1
HADOOP,46295,5,1
HADOOP,46847,5,1
HADOOP,46852,5,1
HADOOP,8663,5,4
HADOOP,6474,5,1
HADOOP,36605,5,3
HADOOP,45648,5,3
HADOOP,46059,5,1
HADOOP,21828,5,4
HADOOP,47191,5,2
HADOOP,47059,5,1
HADOOP,26683,5,2
HADOOP,45780,5,1
HADOOP,8343,5,1
HADOOP,45849,5,1
HADOOP,8626,5,3
HADOOP,7948,5,2
HADOOP,30537,5,5
HADOOP,47188,5,2
HADOOP,46797,5,1
HADOOP,30559,5,3
HADOOP,46864,5,1
HADOOP,36588,5,2
HADOOP,26969,4,3
HADOOP,47061,4,1
HADOOP,47172,4,3
HADOOP,6779,4,1
HADOOP,47081,4,2
HADOOP,47082,4,2
HADOOP,7111,4,2
HADOOP,8644,4,1
HADOOP,47022,4,1
HADOOP,47013,4,1
HADOOP,8629,4,1
HADOOP,47199,4,2
HADOOP,46927,4,1
HADOOP,22095,4,3
HADOOP,25295,4,2
HADOOP,46897,4,2
HADOOP,25353,4,2
HADOOP,25408,4,1
HADOOP,8520,4,3
HADOOP,25590,4,1
HADOOP,7838,4,3
HADOOP,46870,4,1
HADOOP,47107,4,2
HADOOP,26949,4,2
HADOOP,47068,4,3
HADOOP,28530,4,2
HADOOP,46831,4,1
HADOOP,8349,4,1
HADOOP,30466,4,1
HADOOP,46793,4,2
HADOOP,8319,4,1
HADOOP,30641,4,1
HADOOP,46779,4,1
HADOOP,46776,4,2
HADOOP,8300,4,2
HADOOP,46743,4,2
HADOOP,30906,4,3
HADOOP,3562,4,1
HADOOP,32629,4,2
HADOOP,45838,4,2
HADOOP,47140,4,4
HADOOP,47190,4,1
HADOOP,37413,4,1
HADOOP,45685,4,2
HADOOP,36054,4,2
HADOOP,47146,4,4
HADOOP,36586,4,1
HADOOP,36112,4,3
HADOOP,45617,4,2
HADOOP,36564,4,3
HADOOP,45616,4,3
HADOOP,36558,4,2
HADOOP,36172,4,2
HADOOP,7954,4,1
HADOOP,47196,4,2
HADOOP,42709,4,2
HADOOP,36540,4,3
HADOOP,36250,4,2
HADOOP,36510,4,1
HADOOP,36506,4,2
HADOOP,45555,4,1
HADOOP,44933,4,1
HADOOP,45488,4,3
HADOOP,36463,4,1
HADOOP,7985,4,2
HADOOP,45278,4,1
HADOOP,47073,4,1
HADOOP,8264,3,2
HADOOP,46987,3,1
HADOOP,30823,3,1
HADOOP,46753,3,1
HADOOP,46760,3,2
HADOOP,46772,3,1
HADOOP,46992,3,1
HADOOP,46773,3,2
HADOOP,30680,3,2
HADOOP,46780,3,2
HADOOP,46794,3,1
HADOOP,21007,3,1
HADOOP,30562,3,2
HADOOP,47187,3,1
HADOOP,47116,3,2
HADOOP,30499,3,2
HADOOP,47026,3,1
HADOOP,42377,3,2
HADOOP,47113,3,2
HADOOP,47186,3,1
HADOOP,46846,3,1
HADOOP,17175,3,1
HADOOP,36448,3,3
HADOOP,26985,3,1
HADOOP,26802,3,1
HADOOP,36560,3,1
HADOOP,46995,3,2
HADOOP,36410,3,1
HADOOP,46867,3,1
HADOOP,18926,3,1
HADOOP,36557,3,2
HADOOP,18384,3,1
HADOOP,47079,3,1
HADOOP,45585,3,1
HADOOP,7956,3,2
HADOOP,45564,3,2
HADOOP,47210,3,1
HADOOP,8632,3,2
HADOOP,36382,3,1
HADOOP,36201,3,1
HADOOP,46881,3,1
HADOOP,8528,3,3
HADOOP,46882,3,1
HADOOP,36223,3,2
HADOOP,8556,3,1
HADOOP,17648,3,1
HADOOP,36237,3,2
HADOOP,25310,3,3
HADOOP,23087,3,2
HADOOP,7982,3,2
HADOOP,5178,3,3
HADOOP,36527,3,2
HADOOP,22086,3,2
HADOOP,46914,3,1
HADOOP,17532,3,1
HADOOP,8574,3,1
HADOOP,21997,3,1
HADOOP,8595,3,2
HADOOP,46920,3,1
HADOOP,21830,3,3
HADOOP,17320,3,1
HADOOP,36298,3,2
HADOOP,21802,3,2
HADOOP,9234,3,2
HADOOP,21479,3,2
HADOOP,46952,3,1
HADOOP,44872,3,1
HADOOP,46954,3,1
HADOOP,47083,3,1
HADOOP,34169,3,2
HADOOP,45766,3,2
HADOOP,8065,3,2
HADOOP,7922,3,2
HADOOP,8089,3,1
HADOOP,34046,3,2
HADOOP,36888,3,1
HADOOP,34039,3,1
HADOOP,35508,3,2
HADOOP,45785,3,1
HADOOP,32644,3,2
HADOOP,8138,3,2
HADOOP,47207,3,1
HADOOP,8165,3,3
HADOOP,45702,3,1
HADOOP,7805,3,2
HADOOP,46978,3,1
HADOOP,32594,3,1
HADOOP,45874,3,2
HADOOP,47137,3,1
HADOOP,46330,3,1
HADOOP,8222,3,2
HADOOP,46740,3,1
HADOOP,36049,3,1
HADOOP,46752,3,1
HADOOP,47016,2,1
HADOOP,1641,2,1
HADOOP,3474,2,1
HADOOP,4035,2,1
HADOOP,5236,2,1
HADOOP,7808,2,2
HADOOP,7836,2,2
HADOOP,7872,2,2
HADOOP,7957,2,1
HADOOP,8013,2,2
HADOOP,8037,2,2
HADOOP,8093,2,1
HADOOP,8100,2,2
HADOOP,8141,2,1
HADOOP,8180,2,1
HADOOP,8196,2,1
HADOOP,8332,2,1
HADOOP,8334,2,2
HADOOP,8337,2,1
HADOOP,8376,2,2
HADOOP,8479,2,2
HADOOP,8568,2,1
HADOOP,8570,2,1
HADOOP,8586,2,2
HADOOP,8591,2,1
HADOOP,8606,2,1
HADOOP,9090,2,1
HADOOP,15085,2,2
HADOOP,15622,2,1
HADOOP,16236,2,2
HADOOP,17025,2,1
HADOOP,17154,2,2
HADOOP,17200,2,2
HADOOP,17703,2,1
HADOOP,21188,2,1
HADOOP,21478,2,2
HADOOP,21823,2,1
HADOOP,22059,2,1
HADOOP,22096,2,2
HADOOP,25253,2,1
HADOOP,25314,2,1
HADOOP,25368,2,1
HADOOP,25583,2,1
HADOOP,25830,2,2
HADOOP,25851,2,1
HADOOP,26689,2,1
HADOOP,26821,2,1
HADOOP,28218,2,1
HADOOP,28841,2,2
HADOOP,29082,2,2
HADOOP,30626,2,2
HADOOP,30707,2,1
HADOOP,30777,2,1
HADOOP,30792,2,2
HADOOP,30844,2,2
HADOOP,30873,2,1
HADOOP,30929,2,1
HADOOP,32598,2,1
HADOOP,32610,2,1
HADOOP,32621,2,1
HADOOP,33831,2,1
HADOOP,34121,2,2
HADOOP,34176,2,2
HADOOP,34192,2,1
HADOOP,35487,2,1
HADOOP,35662,2,1
HADOOP,36055,2,1
HADOOP,36092,2,2
HADOOP,36102,2,1
HADOOP,36148,2,2
HADOOP,36173,2,2
HADOOP,36187,2,2
HADOOP,36198,2,2
HADOOP,36241,2,1
HADOOP,36259,2,1
HADOOP,36289,2,1
HADOOP,36372,2,1
HADOOP,36419,2,1
HADOOP,36443,2,1
HADOOP,36509,2,1
HADOOP,36526,2,2
HADOOP,36539,2,1
