Project,Period,Magnet,Sticky,Politeness,Tot_Comment
INFRA,2004-03,-0.15555555555555556,-0.5604395604395604,-0.30000000000000004,0
INFRA,2004-04,-0.23333333333333336,0.046153846153846156,-0.7,0
INFRA,2004-05,0.3717948717948718,0.175,0.5,0
INFRA,2004-06,-0.18552036199095018,0.18055555555555558,0.5,0
INFRA,2004-07,-0.13071895424836605,0.0,-0.4,0
INFRA,2004-08,0.14141414141414144,-0.17094017094017094,-0.09999999999999998,0
INFRA,2004-09,-0.11363636363636365,0.0699300699300699,0.125,0
INFRA,2004-10,0.13461538461538464,-0.12121212121212122,0.0,0
INFRA,2004-11,-0.05128205128205132,0.2,-0.2916666666666667,0
INFRA,2004-12,-0.009803921568627416,-0.007017543859649145,0.22666666666666674,0
INFRA,2005-01,0.002051983584131334,-0.06798245614035087,0.24,0
INFRA,2005-02,0.0013416815742396948,-0.10119047619047616,-0.014285714285714346,0
INFRA,2005-03,-0.005494505494505475,-0.10714285714285715,-0.2857142857142857,0
INFRA,2005-04,-0.035714285714285754,0.22619047619047616,0.1470588235294118,0
INFRA,2005-05,0.27142857142857146,-0.2312925170068027,0.06992230854605985,0
INFRA,2005-06,-0.2833333333333333,0.26938775510204077,-0.01327742837176793,0
INFRA,2005-07,-0.009920634920634941,-0.10888030888030881,0.016296296296296253,0
INFRA,2005-08,-0.1452448210922787,0.0036855036855036882,0.08000000000000007,0
INFRA,2005-09,0.16042569964525027,0.01948051948051943,-0.0121212121212122,0
INFRA,2005-10,0.006644518272425237,-0.19047619047619047,-0.17249417249417243,0
INFRA,2005-11,-0.007936507936507908,0.29523809523809524,0.009615384615384581,0
INFRA,2005-12,0.2528344671201814,-0.06274509803921569,-0.016304347826086918,0
INFRA,2006-01,-0.24489795918367352,-0.08169934640522875,-0.028050490883590462,0
INFRA,2006-02,-0.0319829424307036,-0.13082437275985664,-0.02508960573476704,0
INFRA,2006-03,-0.0662313432835821,0.3301707779886148,-0.11111111111111116,0
INFRA,2006-04,0.30306603773584906,-0.14379084967320266,0.2592592592592593,0
INFRA,2006-05,-0.2784448256146369,-0.07777777777777778,-0.0883190883190883,0
INFRA,2006-06,0.05573593073593072,0.017948717948717996,0.21794871794871795,0
INFRA,2006-07,0.02626050420168069,-0.06461538461538463,-0.3717948717948718,0
INFRA,2006-08,0.045882352941176485,0.08000000000000002,0.09401709401709402,0
INFRA,2006-09,0.1452941176470588,-0.07441860465116279,-0.08187134502923982,0
INFRA,2006-10,-0.14808481532147744,0.0,0.21520467836257312,0
INFRA,2006-11,-0.16329625884732052,0.17441860465116277,-0.14343434343434347,0
INFRA,2006-12,0.268944099378882,-0.2727272727272727,0.05029013539651839,0
INFRA,2007-01,-0.34285714285714286,0.21022727272727273,-0.05029013539651839,0
INFRA,2007-02,0.4208333333333334,-0.3125,-0.1454545454545454,0
INFRA,2007-03,-0.33901515151515155,0.2916666666666667,-0.2,0
INFRA,2007-04,0.39318181818181813,-0.130952380952381,0.4666666666666666,0
INFRA,2007-05,-0.30969387755102035,0.23809523809523814,0.2028985507246377,0
INFRA,2007-06,0.0680272108843537,-0.07936507936507942,-0.24456521739130432,0
INFRA,2007-07,-0.0691823899371069,-0.09829059829059827,-0.012096774193548376,0
INFRA,2007-08,0.07547169811320753,0.024216524216524205,0.07130730050933787,0
INFRA,2007-09,-0.051161103047895506,0.029629629629629672,0.0430622009569378,0
INFRA,2007-10,-0.04933110367892973,-0.11428571428571432,-0.14662756598240467,0
INFRA,2007-11,0.010869565217391297,0.18095238095238098,0.019354838709677358,0
INFRA,2007-12,0.3771186440677966,-0.05757575757575756,0.0,0
INFRA,2008-01,-0.45378531073446327,-0.0865102639296188,-0.07826086956521738,0
INFRA,2008-02,0.1433333333333333,-0.046718576195773076,0.1705685618729097,0
INFRA,2008-03,-0.014779874213836475,0.22413793103448276,-0.02564102564102566,0
INFRA,2008-04,0.005805515239477532,0.0357142857142857,0.011904761904761973,0
INFRA,2008-05,-0.0012406947890818976,-0.24159663865546216,-0.1785714285714286,0
INFRA,2008-06,-0.1064516129032258,0.18207282913165262,0.20588235294117652,0
INFRA,2008-07,0.09545454545454546,-0.041407867494824,0.016339869281045694,0
INFRA,2008-08,0.002417794970986431,0.06521739130434784,-0.03472222222222221,0
INFRA,2008-09,0.009819967266775809,-0.14285714285714285,0.15249999999999997,0
INFRA,2008-10,0.048239895697522794,-0.03456221198156684,-0.19483870967741934,0
INFRA,2008-11,-0.006725854183481317,0.052419354838709686,0.2548387096774194,0
INFRA,2008-12,0.12698412698412698,-0.009615384615384637,-0.2333333333333334,0
INFRA,2009-01,-0.23963133640552992,4.6904315196999447E-4,0.06666666666666665,0
INFRA,2009-02,0.05458010072138286,-0.023748395378690612,-0.03063063063063054,0
INFRA,2009-03,-0.019710669077757703,0.12664473684210525,-0.02923331494760073,0
INFRA,2009-04,0.09343629343629345,-0.13541666666666669,0.02420503084954917,0
INFRA,2009-05,-0.06486486486486487,0.11403508771929827,-0.023255813953488413,0
INFRA,2009-06,0.067816091954023,-0.18206229860365197,0.0948121645796065,0
INFRA,2009-07,-0.15262621853630146,0.10136054421768703,-0.1809954751131222,0
INFRA,2009-08,0.15404089581304772,0.03333333333333338,-0.05335157318741457,0
INFRA,2009-09,-0.013967611336032415,0.03902439024390242,-0.01973220577871737,0
INFRA,2009-10,0.03648941942485079,-0.08188153310104529,0.14682031583440036,0
INFRA,2009-11,-0.15175257731958763,0.09740259740259738,0.020954998282377235,0
